City ID,City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,-53.15,-70.92,46.4,81,90,8.05
1,Bengkulu,-3.8,102.27,75.29,86,100,4.03
2,Severo-Kuril'sk,50.68,156.12,38.79,73,98,31.65
3,Lillooet,50.69,-121.94,50.85,93,90,8.05
4,Tahoua,14.89,5.27,82.4,23,0,4.7
5,New Norfolk,-42.78,147.06,46.83,63,1,1.01
6,Ushuaia,-54.8,-68.3,66.2,37,0,3.36
7,Barra Patuca,15.8,-84.28,77.72,91,100,13.42
8,Vardø,70.37,31.11,39.2,80,75,28.86
9,Khatanga,71.97,102.5,-6.59,90,13,8.1
10,Puerto Ayora,-0.74,-90.35,74.5,100,40,24.16
11,Yellowknife,62.46,-114.35,2.28,77,75,2.48
12,Barrow,71.29,-156.79,26.6,68,75,29.97
13,Can Tho,10.03,105.78,77,100,40,1.12
14,Kruisfontein,-34,24.73,69.01,82,100,3
15,Grafton,42.21,-71.69,54.57,50,1,14.99
16,Bolshaya Sosnova,57.67,54.6,34.83,94,100,5.99
17,Bariloche,-41.15,-71.31,48.2,66,75,20.8
18,Maumere,-8.62,122.21,79.81,76,65,3.04
19,Butaritari,3.07,172.79,80.87,72,100,11.86
20,Avarua,-21.21,-159.78,71.6,88,95,26.24
21,Sibolga,1.74,98.78,76.6,76,65,3.49
22,Chokurdakh,70.63,147.92,-14.37,87,0,5.06
23,Cherskiy,68.75,161.3,5.65,86,100,5.59
24,Hermanus,-34.42,19.23,66.99,80,63,4
25,Idrinskoye,54.37,92.14,27.05,96,100,20.76
26,Kedgwick,47.64,-67.34,26.49,82,100,5.48
27,Albany,42.6,-73.97,53.2,47,20,16.11
28,Anadyr,64.75,177.48,35.6,94,20,22.37
29,Fujin,47.26,132.03,25.75,79,0,7.85
30,Cabinda,-5.55,12.2,78.12,84,100,6.22
31,Lensk,60.73,114.93,17.69,95,100,4.83
32,Tonoshō,34.48,134.18,41.2,81,40,9.17
33,Atuona,-9.8,-139.03,78.96,77,5,21.63
34,Campo Largo,-25.46,-49.53,56.77,87,75,11.41
35,Mahébourg,-20.41,57.7,71.6,83,75,6.93
36,Hamilton,39.18,-84.53,71.02,30,1,11.41
37,Xining,36.62,101.77,35.1,85,99,1.92
38,Haines Junction,60.75,-137.51,-9.4,69,98,1.12
39,Rikitea,-23.12,-134.97,73.44,75,0,15.73
40,Tomatlán,19.93,-105.25,90.27,43,10,5.97
41,Akoupé,6.39,-3.9,75.2,95,100,2.59
42,Port Elizabeth,-33.92,25.57,68,88,100,9.17
43,Jamestown,42.1,-79.24,64.4,36,1,13.87
44,Escanaba,45.75,-87.06,57.65,66,1,13.87
45,Aklavik,68.22,-135.01,5,84,90,5.82
46,Eibergen,52.1,6.65,39.33,92,0,5.21
47,Hong Kong,22.29,114.16,67.32,70,40,1.99
48,Stokmarknes,68.56,14.91,42.8,93,75,17.22
49,Mataura,-46.19,168.86,60.01,87,78,10
50,Havre de Grace,39.55,-76.09,62.55,39,1,9.17
51,Ancud,-41.87,-73.82,55.24,71,40,16.11
52,Bintulu,3.17,113.03,75.09,94,40,4.7
53,Cabedelo,-6.98,-34.83,80.6,78,0,9.17
54,Samarinda,-0.5,117.15,73.6,95,11,0.83
55,Busselton,-33.65,115.33,50.86,78,99,3
56,Quatre Cocos,-20.21,57.76,71.29,83,75,6.93
57,Mahina,-17.51,-149.49,82.4,74,75,16.11
58,Ise,34.48,136.7,51.8,76,40,9.17
59,Mukhen,48.1,136.1,24.73,85,49,12.21
60,Wenling,28.37,121.36,55.4,88,84,1.01
61,Guerrero Negro,27.98,-114.06,82.56,34,5,12.73
62,Kuril'sk,45.23,147.88,39.78,76,98,25.61
63,Wanning,18.8,110.4,73.17,84,100,12.75
64,Shahr-e Kord,32.33,50.86,41,21,0,6.93
65,Longyearbyen,78.22,15.64,32,94,40,28.86
66,Norman Wells,65.28,-126.83,-5.8,83,75,1.66
67,Biloela,-24.42,150.5,71.53,68,0,10.69
68,Hobart,-42.88,147.33,49.51,53,40,6.93
69,Fort Nelson,58.81,-122.7,10.4,85,75,2.24
70,Vélingara,13.15,-14.12,85.91,49,52,6.2
71,San Patricio,28.02,-97.52,80.69,39,40,11.41
72,El Dorado,38.77,-120.52,78.03,12,0,1.99
73,Shahrud,36.42,54.98,54.16,40,0,0.87
74,Lebu,-37.62,-73.65,55,64,0,11.01
75,Humaitá,-7.51,-63.02,88.99,55,97,0.72
76,Vila Velha,-20.33,-40.29,74.57,83,90,8.05
77,Cabo San Lucas,22.89,-109.91,87.31,55,5,4.7
78,Vaini,-21.2,-175.2,77,78,20,12.75
79,Solnechnyy,50.72,136.63,17.8,83,3,1.28
80,Dicabisagan,17.08,122.42,75.36,83,100,10.45
81,Bluff,-46.6,168.33,60.01,88,72,5.99
82,Takoradze,4.88,-1.76,79.79,83,3,5.86
83,Faanui,-16.48,-151.75,79.5,80,70,15.73
84,Hasaki,35.73,140.83,43.3,87,75,5.82
85,Qaanaaq,77.48,-69.36,-1.43,87,99,1.54
86,Saint Paul Harbor,57.79,-152.41,30.2,50,75,11.41
87,Misratah,32.38,15.09,70.7,62,0,6.64
88,Nicoya,10.15,-85.45,77,94,75,8.05
89,Rutana Province,-3.87,30.1,64.72,77,87,2.06
90,Kapaa,22.08,-159.32,81.59,78,75,10.98
91,Svetlaya,46.54,138.33,30.36,82,33,10.6
92,Veshenskaya,49.63,41.73,44.78,82,31,7.02
93,Åros,59.7,10.51,43.29,73,65,5.99
94,Maceió,-9.67,-35.74,80.6,74,0,9.17
95,Hilo,19.73,-155.09,79.74,66,75,4.7
96,Chumikan,54.72,135.31,13.39,91,0,27.07
97,Nikolskoye,59.7,30.79,44.76,75,75,8.95
98,Ternate,0.8,127.4,80.04,80,40,3
99,Zykovo,55.95,93.15,26.6,86,75,13.42
100,Walvis Bay,-22.96,14.51,59.47,82,0,8.05
101,Castro,-24.79,-50.01,58.59,87,13,7.05
102,Ribeira Grande,38.52,-28.7,60.8,63,75,8.05
103,Samagaltay,50.6,95,12.94,83,42,2.3
104,San Cristobal,7.77,-72.22,86,62,40,10.29
105,Kahului,20.89,-156.47,83.16,55,20,9.17
106,Siwāna,25.63,72.42,71.6,43,0,4.52
107,Nioro,13.35,-15.75,79.81,68,10,7.99
108,Leningradskiy,69.38,178.42,7.23,83,71,8.68
109,Ulladulla,-35.35,150.47,51.85,100,90,13.87
110,Marsá Maţrūḩ,31.35,27.25,69.8,68,40,8.05
111,Carnarvon,-24.87,113.63,69.8,94,0,17.22
112,Klaksvík,62.23,-6.59,50,100,86,27.51
113,Arraial do Cabo,-22.97,-42.03,75.2,69,75,6.93
114,Peniche,39.36,-9.38,52.38,69,100,5.99
115,Sioux Lookout,50.1,-91.92,57.2,44,40,9.17
116,Turinskaya Sloboda,57.62,64.39,33.51,93,0,10.25
117,Saldanha,-33.01,17.94,66.2,77,96,1.12
118,Khovd,48.01,91.64,23.11,89,24,3.27
119,Buala,-8.14,159.59,83.95,75,100,6.8
120,Cape Town,-33.93,18.42,69.1,64,0,10.29
121,Saint George,37.1,-113.58,73.6,26,1,0.76
122,Upernavik,72.79,-56.15,18.09,96,100,6.17
123,Atambua,-9.11,124.89,73.87,80,30,3.02
124,Broken Hill,-31.95,141.43,48.2,76,0,20.8
125,Kidal,18.44,1.41,80.08,20,30,8.46
126,El Cairo,4.76,-76.22,82.4,45,40,3.36
127,Vao,-22.67,167.48,72.68,86,15,9.28
128,Latung,5.5,120.88,82.47,75,83,5.12
129,Sal Rei,16.18,-22.92,77,78,40,9.17
130,Tuatapere,-46.13,167.68,60.01,87,91,10
131,Parintins,-2.63,-56.74,79.81,84,100,3.53
132,Rome,43.21,-75.46,59.5,42,1,11.41
133,Tarakan,3.3,117.63,81.54,78,57,7.07
134,San Ramon,37.78,-121.98,75.81,33,1,3.36
135,Cidreira,-30.18,-50.21,62.94,59,12,10.16
136,Kaitangata,-46.28,169.85,64.99,73,98,8.01
137,Pitimbu,-7.47,-34.81,80.6,78,0,9.17
138,Codrington,-38.27,141.97,50.97,74,38,13.09
139,‘Ewa Beach,21.32,-158.01,82.51,74,75,9.17
140,Tuktoyaktuk,69.45,-133.04,10.4,85,90,12.75
141,Sovetskiy,61.36,63.58,36.64,90,67,10.74
142,Sayyan,15.17,44.32,48.31,44,0,2.26
143,Thompson,55.74,-97.86,26.6,100,90,3.36
144,Ponta do Sol,32.67,-17.1,58.42,82,40,5.82
145,Santa Rosa,14.31,121.11,78.91,88,90,1.12
146,Hualmay,-11.1,-77.61,67.82,68,17,11.68
147,Namatanai,-3.67,152.43,82.09,77,99,9.8
148,Kresttsy,58.25,32.52,45.7,84,100,10.45
149,Port Alfred,-33.59,26.89,68.2,87,100,15.03
150,Pareora,-44.49,171.21,64.99,90,98,4.27
151,Bambous Virieux,-20.34,57.76,71.31,83,75,6.93
152,Vega de Alatorre,20.03,-96.63,77.38,64,54,15.84
153,Tasiilaq,65.61,-37.64,30.2,54,40,6.93
154,Mount Gambier,-37.83,140.77,46.4,87,40,6.93
155,Disna,55.57,28.2,46.63,82,100,8.32
156,Hambantota,6.12,81.12,78.93,83,79,3.71
157,Yate,51.54,-2.42,43.07,86,48,1.01
158,Chui,-33.7,-53.46,60.91,65,0,8.97
159,Yaan,7.38,8.57,80.06,75,100,6.2
160,Souillac,-20.52,57.52,71.6,83,75,6.93
161,Gōtsuchō,35,132.22,46.81,68,6,6.2
162,Aborlan,9.44,118.55,78.21,82,100,0.87
